wine,winery,category,designation,varietal,appellation,alcohol,price,rating,reviewer,review
Donum 2009 Estate Grown Pinot Noir (Russian River Valley),Donum,Red,Estate Grown,Pinot Noir,"Russian River Valley, Sonoma, California, US",14.4%,$65,92,,"Donum is at the top of it's Pinot Noir game. This is simply wonderful, offering a wealth of red fruit, cola, spice, mineral and earth flavors. The tannins are negotiable, the acidity brisk and clean, the finish dry and long. You may even want to cellar it for 5–6 years, although it's fully enjoyable now."
River's Edge 2015 Elkton Cuvée Pinot Noir (Elkton Oregon),River's Edge,Red,Elkton Cuvée,Pinot Noir,"Elkton Oregon, Southern Oregon, Oregon, US",15%,$20,90,Paul Gregutt,"This is a delicious and beautifully-proportioned wine that delivers exceptional value. Concentrated cranberry and blueberry fruit takes the middle ground, and the raw-wood aromas suggest that further bottle age will soften the flavors on the finish."
Sander 2003 Kabinett Halbtrocken Terravita Riesling (Rheinhessen),Sander,White,Kabinett Halbtrocken Terravita,Riesling,"Rheinhessen, Germany",,$13,84,Roger Voss,"Clean, fresh Riesling which has light fruit, flavors of ripe pears and a lively, racy aftertaste. This is a delicious aperitif wine with good crispness, acidity and a soft, easy aftertaste."
Apolloni 2007 Conti di Val Seriana Soleggio Red (Columbia Valley (OR)),Apolloni,Red,Conti di Val Seriana Soleggio,"Red Blends, Red Blends","Columbia Valley (OR), Oregon Other, Oregon, US",,$27,86,Paul Gregutt,"This blend of Sangiovese, Cabernet Sauvignon and Merlot is an Oregon winery's take on a super Tuscan red. Aromas are volatile and those high tones carry into the flavors. Light raspberry fruit, high acidity, and a sharp astringency characterize the wine."
Château Desmirail 2016 Barrel Sample  (Margaux),Château Desmirail,Red,Barrel Sample,Bordeaux-style Red Blend,"Margaux, Bordeaux, France",,,89,Roger Voss,"88–90. Barrel Sample. This is a producer that needs to watch its wood. This is hugely toasty, and the oak suppresses the fruit."
Protopapas 2005 Cabernet Sauvignon (Greece),Protopapas,Red,,Cabernet Sauvignon,"Greece, Greece",13.5%,$17,82,Susan Kostrzewa,"This wine starts with a spicy nose of tobacco and mocha tinged with a green character. The wine's dry style offers flavors of wooded spice, red berry, tobacco and a slightly lean spin. Spicy and food friendly, but a touch rustic."
Tortoise Creek 2013 Le Charmel Sur Lie  (Muscadet Sèvre et Maine),Tortoise Creek,White,Le Charmel Sur Lie,"Melon, Other White","Muscadet Sèvre et Maine, Loire Valley, France",12.5%,$12,85,Roger Voss,"This light and fruity wine is fresh with lemon and light minerality. It is ready to drink, with its bright acidity and pear and apple aftertaste."
Cicchitti 2016 Gran Reserva Malbec (Mendoza),Cicchitti,Red,Gran Reserva,Malbec,"Mendoza, Mendoza Province, Argentina",14%,$30,87,Michael Schachner,"Broad but imprecise berry aromas are a touch green and topped with creamy oak that lends a milk chocolate character to the nose. A plump, grabby palate deals minty green berry flavors and plenty of oak, while this never sheds its oaky, highly herbal identity. Vintage 2016 saw a lot of rain and this Malbec shows it."
General's Ridge 2011 Pinot Grigio (Virginia),General's Ridge,White,,Pinot Grigio,"Virginia, Virginia, US",12.5%,,84,,"Sulfur shrouds this wine at first, but it dissipates with time to reveal mild notes of honeyed nut, kiwi, white flower and golden apple. The palate has balanced acidity and a slight oiliness, and the flavors seem a bit muted at the moment."
Bindella 2009 I Quadri  (Vino Nobile di Montepulciano),Bindella,Red,I Quadri,Sangiovese,"Vino Nobile di Montepulciano, Tuscany, Italy",14.5%,$40,89,Kerin O’Keefe,"I Quadri offers violet and iris aromas accented by vanilla and toasted oak sensations. The palate shows a black pepper streak wrapped around a core of plum and ripe cherry, finishing on a roasted coffee bean note. It's forward and ready to enjoy soon."
Al Lago 2017 Adagio Sangiovese (California),Al Lago,Red,Adagio,Sangiovese,"California, California Other, California, US",14.95%,$65,91,Matt Kettmann,"Rich and extracted aromas of black cherry, caramel and creamy fudge show on the nose of this bottling from the hills above Camarillo, which includes 5% Syrah. The palate is viscous, showing strong flavors of loamy soil, black-plum pudding and fig, wrapped in creamy tannins and toasty wood touches."
Roccolo Grassi 2009  Valpolicella Superiore,Roccolo Grassi,Red,,"Corvina, Rondinella, Molinara, Italian Red","Valpolicella Superiore, Veneto, Italy",14.5%,$40,90,,"Roccolo Grassi takes Valpolicella Superiore to the next level. While Valpolicella Superiore is mostly recognized as an easy-drinking red to wash down with pizza or pasta, this has touches of ripe fruit and exotic spice that lend extra sophistication, elegance and texture."
Tandem 2003 Van der Kamp Vineyard Pinot Noir (Sonoma Mountain),Tandem,Red,Van der Kamp Vineyard,Pinot Noir,"Sonoma Mountain, Sonoma, California, US",,$48,91,,"This is a very soft, sensuous Pinot, low in tannins, with a smooth, creamy mouthfeel. The flavors are rich and exuberant in smoky red cherries, raspberries and cola. The softness suggests against extended cellaring, but why wouldn't you want this silky, complex wine now?"
Joseph Jewell 2015 Ryan Vineyard Pinot Noir (Humboldt County),Joseph Jewell,Red,Ryan Vineyard,Pinot Noir,"Humboldt County, North Coast, California, US",13.5%,$39,95,Jim Gordon,"This extraordinary wine sets a high standard for California's Humboldt County. An intriguing tension between ripeness and tartness gives this wine great balance, while red and black cherries, rhubarb and subtle oak spices provide plenty of complexity. The wine is medium bodied, has firm tannins to stiffen the mouthfeel just enough and is quite concentrated without being heavy."
Alphonse Mellot 2016 La Demoiselle  (Sancerre),Alphonse Mellot,White,La Demoiselle,Sauvignon Blanc,"Sancerre, Loire Valley, France",13%,$57,94,Roger Voss,"A single-vineyard wine from one of the highest points in Sancerre, this is concentrated and dense, full of taut fruit and rich acidity. Apple flavors are cut with tangy, spicy citrus lifted by the taut aftertaste. Drink from 2020."
Mastroberardino 2016 Stilema  (Fiano di Avellino),Mastroberardino,White,Stilema,"Fiano, Italian White","Fiano di Avellino, Southern Italy, Italy",13%,$65,93,Kerin O’Keefe,"Flinty mineral, smoke, yellow pear, toasted hazelnut and acacia aromas follow over to the elegant medium-bodied palate along with Meyer lemon, mature yellow apple and saline. A note of chestnut honey wraps around the finish while fresh acidity keeps it balanced."
Krutzler 2004 Blaufränkisch (Burgenland),Krutzler,Red,,"Blaufränkisch, Other Red","Burgenland, Austria",13%,$23,83,Joe Czerwinski,"This medium-weight wine smells rather nice, with plum and black cherry notes accented by cinnamon and chocolate, but then the flavors pick up some green, herbaceous notes that turn bitter on the finish. Imported by Vin Divino."
Desert Wind 2004 Merlot (Wahluke Slope),Desert Wind,Red,,Merlot,"Wahluke Slope, Columbia Valley, Washington, US",,$15,80,Paul Gregutt,"Stemmy, green and harsh, with flavors of earth, stem and pip. The watery, dilute flavors barely suggest fruit."
Wayfarer 2016 Wayfarer Vineyard Pinot Noir (Fort Ross-Seaview),Wayfarer,Red,Wayfarer Vineyard,Pinot Noir,"Fort Ross-Seaview, Sonoma, California, US",14.4%,$90,95,Virginie Boone,"This estate-grown beauty is succulent and supple, with a tense body of bright wild strawberry, crushed rock, dried lavender and Asian spice. Robustly rich and deeply layered in flavor and texture, it finishes in a gorgeous dabble of white pepper."
Villa San Juliette 2014 Petite Sirah (Paso Robles),Villa San Juliette,Red,,Petite Sirah,"Paso Robles, Central Coast, California, US",14.9%,$28,87,Matt Kettmann,"Very extracted aromas of cassis and burnt caramel show on the nose of this bottling, which is already revealing its age. Plum-pudding flavors meet with a curiously zippy acidity on the palate."
Château Petit-Freylon 2018 Cuvée PF  (Bordeaux Blanc),Château Petit-Freylon,White,Cuvée PF,Sauvignon Blanc,"Bordeaux Blanc, Bordeaux, France",12.5%,$15,85,Roger Voss,"Apple and pear flavors give this wine freshness and spice. It is bright, fruity and ready to drink."
Finca Sophenia 2018 Altosur Malbec (Tupungato),Finca Sophenia,Red,Altosur,Malbec,"Tupungato, Mendoza Province, Argentina",14%,$10,86,Michael Schachner,"Oaky aromas of bacon rest atop blackberry, fig and raisiny scents. This is a full and grabby Malbec with some chop to the palate. Roasted, woody flavors of black fruits and barbecue sauce finish with subtlety."
Cooper-Garrod 2013 Finley Vineyard Syrah (Santa Cruz Mountains),Cooper-Garrod,Red,Finley Vineyard,,"Santa Cruz Mountains, Central Coast, California, US",13.3%,$35,88,Matt Kettmann,"Savory black pepper and cooked blueberry show on the nose of this bottling. Cracked pepper also gives a savory touch to the sip, adding depth to the blackberry and plum flavors. The tannins are fairly sticky into the finish."
Midsummer Cellars 2013 Tomasson Vineyard Cabernet Sauvignon (St. Helena),Midsummer Cellars,Red,Tomasson Vineyard,Cabernet Sauvignon,"St. Helena, Napa, California, US",15.2%,$55,86,Virginie Boone,"There's a nice aspect of polished tannin behind this vineyard-designate that gives it a refined sensibility, and a roundness of ripeness that becomes almost overwhelming. An aroma of crayon plays with sturdier elements of baked bread and blackberry jam for a concentrated, full-bodied finish."
Ram's Gate 2015 Ulises Valdez Silver Eagle Vineyard Pinot Noir (Russian River Valley),Ram's Gate,Red,Ulises Valdez Silver Eagle Vineyard,Pinot Noir,"Russian River Valley, Sonoma, California, US",14.1%,$76,94,Virginie Boone,"From a site high above Green Valley, typically above the fog and in view of the ocean, this is a spicy, forested and savory wine, textured like nobody's business. Rhubarb, cranberry and wild strawberry attempt to intrude, and do quietly, but it's the cardamom and white pepper that persist most emphatically."
Pine Ridge 2009 Fortis Cabernet Sauvignon (Napa Valley),Pine Ridge,Red,Fortis,Cabernet Sauvignon,"Napa Valley, Napa, California, US",,$150,87,,"This is a blend of the winery's vineyard sources in Rutherford and Stags Leap. It's very delicious and complex in blackberry and blueberry jam, cola, mocha and smoky oak flavors, but is surprisingly soft. It's almost as if the tannins and acids were taken out. Drink up."
Penfolds 2018 Bin 311 Chardonnay (South Eastern Australia),Penfolds,White,Bin 311,Chardonnay,"South Eastern Australia, Australia Other, Australia",13%,DrizlyVivino,92,Christina Pickard,"This now-multiregional Chardonnay blend from wine giant Penfolds is a pretty, fruity number with both the polish associated with this brand and upfront appeal. Waxed apple, peach and lime aromas kick things off. There's a fringe of salt, like the rim of a margarita glass. Laser-like acidity slices through the highly textural palate, leading once again to a long, salty finish. Drink now–2028."
Rusack 2013 Santa Catalina Island Vineyards Pinot Noir (California),Rusack,Red,Santa Catalina Island Vineyards,Pinot Noir,"California, California Other, California, US",14.5%,$72,93,Matt Kettmann,"One of the most ambitious wine projects on the planet, this bottling from Catalina Island shows rich complexity on the nose, with aromas of red cherries, smoked pork, tight graphite, a hint of maple and then violets, lilacs and other purple flowers. The flavors are soft with red and purple fruit, but solidly seasoned with anise, black pepper and spicy herbs, with all elements extremely well integrated."
Bodegas LAN 1996 Viña Lanciano Reserva  (Rioja),Bodegas LAN,Red,Viña Lanciano Reserva,Tempranillo,"Rioja, Northern Spain, Spain",13%,$30,89,Michael Schachner,"Sly and expressive, with traditional aromas of wood, earth and leather along with telltale dried fruit. The palate is racy and reduced, a combination of apple skins, cherry and red plum. Finishes tight and concentrated before giving way to mature chocolaty notes. Drink or continue to hold."
Jacquesson et Fils NV Cuvée No 737 Brut  (Champagne),Jacquesson et Fils,Sparkling,Cuvée No 737 Brut,"Champagne Blend, Sparkling","Champagne, Champagne, France",12%,$80,94,Roger Voss,"The latest numbered bottling in the Non Vintage series from Jacquesson, this has a beautiful balance between the lightest dosage, making it very dry, and intense structure and texture. It's still young and fruity and worth some bottle age."
Rusack 2009 Reserve Pinot Noir (Sta. Rita Hills),Rusack,Red,Reserve,Pinot Noir,"Sta. Rita Hills, Central Coast, California, US",14.3%,$40,94,,"Who wouldn't love this Pinot Noir? It's zippy in acidity and ripe in briary raspberry and cherry fruit, with spicy, smoky oak complexity. Really defines the luxurious silkiness of the appellation. The grapes are mostly from the Fiddlestix Vineyard, with the balance hailing from Rio Vista Vineyard. Drink now-2015."
Undurraga 2009 T.H. Pinot Noir (Leyda Valley),Undurraga,Red,T.H.,Pinot Noir,"Leyda Valley, Chile",13.5%,$25,85,Michael Schachner,"The first Pinot in Undurraga's Terroir Hunter series is lean, tart and zesty, but also clean and pleasing in its own right. Tea and dried cherry aromas yield to a spunky, lean palate of sharp raspberry and orange peel flavors. Finishes light but clean, with tartness."
Fratelli Muratori 2002 Villa Crespia Iacono Riserva Dosaggio Zero  (Franciacorta),Fratelli Muratori,Sparkling,Villa Crespia Iacono Riserva Dosaggio Zero,Chardonnay,"Franciacorta, Lombardy, Italy",13%,$65,88,,"There's a caramel candy or custard-like quality to this wine that is backed by pear, apricot and mature fruit. It's a complex, layered sparkler with creamy vanilla mousse and golden saturation."
Castle Rock 2003 Pinot Noir (Mendocino County),Castle Rock,Red,,Pinot Noir,"Mendocino County, Mendocino County, California, US",,$11,82,,A weird and disturbing aroma suggesting a chemical flaw ruins this wine's otherwise decent flavors and texture.
